First;Last;Nickname;Ht.;Wt.;Reach;Stance;W;L;D;Foot;Inches;Height_cm;Weight.Lbs;Weight.Kg
Timothy;Johnson;;"6' 3""";265 lbs.;"77.0""";Southpaw;12;4;0;6.0;3.0;190.5;265.0;120.20188
Tony;Johnson;;"6' 1""";265 lbs.;--;;11;3;0;6.0;1.0;185.42000000000002;265.0;120.20188
Jordan;Johnson;;"6' 2""";205 lbs.;"79.0""";Orthodox;10;0;0;6.0;2.0;187.96;205.0;92.98636
Taylor;Johnson;Tombstone;"6' 0""";185 lbs.;"74.0""";Switch;5;1;0;6.0;0.0;182.88;185.0;83.91452
Chad;Johnson;Big Rigg;"6' 2""";230 lbs.;"80.0""";Orthodox;6;2;0;6.0;2.0;187.96;230.0;104.32616
Jose;Johnson;Zhakwarius;"6' 0""";125 lbs.;"71.0""";Orthodox;16;10;0;6.0;0.0;182.88;125.0;56.699
Charles;Johnson;InnerG;"5' 9""";125 lbs.;"70.0""";Switch;18;8;0;5.0;9.0;175.26;125.0;56.699
Donte;Johnson;Lock Jaw;"5' 8""";185 lbs.;"74.0""";Southpaw;7;0;0;5.0;8.0;172.72;185.0;83.91452
Brian;Johnston;;"6' 3""";230 lbs.;--;Orthodox;5;5;0;6.0;3.0;190.5;230.0;104.32616
Liana;Jojua;She Wolf;"5' 4""";125 lbs.;"62.0""";Orthodox;8;5;0;5.0;4.0;162.56;125.0;56.699
Nikola;Joksovic;;--;170 lbs.;--;;16;0;0;;;;170.0;77.11064
Daniel;Jolly;The Werewolf of Texas;"6' 1""";205 lbs.;"75.0""";Orthodox;5;3;0;6.0;1.0;185.42000000000002;205.0;92.98636
Paul;Jones;;"5' 9""";199 lbs.;--;Orthodox;11;1;1;5.0;9.0;175.26;199.0;90.264808
Jon;Jones;Bones;"6' 4""";248 lbs.;"84.0""";Orthodox;28;1;0;6.0;4.0;193.04;248.0;112.490816
Nathan;Jones;;"6' 11""";345 lbs.;--;Orthodox;0;1;0;6.0;11.0;210.82;345.0;156.48924
Marcus;Jones;The Darkness;"6' 6""";265 lbs.;--;Orthodox;4;2;0;6.0;6.0;198.12;265.0;120.20188
Carlton;Jones;;"6' 1""";225 lbs.;--;Orthodox;1;4;0;6.0;1.0;185.42000000000002;225.0;102.0582
Jesse;Jones;;"5' 9""";170 lbs.;--;;2;1;0;5.0;9.0;175.26;170.0;77.11064
Tito;Jones;;"5' 8""";145 lbs.;--;Southpaw;11;8;0;5.0;8.0;172.72;145.0;65.77083999999999
Roy;Jones;;--;205 lbs.;--;;7;5;0;;;;205.0;92.98636
Justin;Jones;Black Dynamite;"5' 11""";185 lbs.;--;Orthodox;9;2;0;5.0;11.0;180.34;185.0;83.91452
Ben;Jones;Blitzkrieg;--;185 lbs.;--;;4;4;0;;;;185.0;83.91452
Victor;Jones;;--;145 lbs.;--;;1;3;0;;;;145.0;65.77083999999999
Chris;Jones;Lionheart;"5' 9""";149 lbs.;--;;10;5;0;5.0;9.0;175.26;149.0;67.585208
Roshaun;Jones;;"5' 8""";135 lbs.;--;;2;6;0;5.0;8.0;172.72;135.0;61.23492
Jamelle;Jones;The Beast;"6' 0""";205 lbs.;"75.0""";Orthodox;7;5;0;6.0;0.0;182.88;205.0;92.98636
Antonio;Jones;Doomsday;"5' 11""";185 lbs.;--;Orthodox;6;1;0;5.0;11.0;180.34;185.0;83.91452
Trevin;Jones;5 Star;"5' 7""";135 lbs.;"70.0""";Southpaw;13;10;0;5.0;7.0;170.18;135.0;61.23492
Mason;Jones;The Dragon;"5' 10""";155 lbs.;"74.0""";Orthodox;17;2;0;5.0;10.0;177.8;155.0;70.30676
Craig;Jones;;--;205 lbs.;--;;0;0;0;;;;205.0;92.98636
Jacobi;Jones;Big Toe;"5' 9""";155 lbs.;"72.0""";Orthodox;6;2;0;5.0;9.0;175.26;155.0;70.30676
Jocelyn;Jones-Lybarger;;"5' 7""";115 lbs.;"64.0""";Orthodox;6;4;0;5.0;7.0;170.18;115.0;52.16308
Kevin;Jordan;The Shaman;"6' 3""";245 lbs.;--;Orthodox;11;9;0;6.0;3.0;190.5;245.0;111.13004
Joe;Jordan;;"5' 6""";155 lbs.;--;Orthodox;49;14;2;5.0;6.0;167.64000000000001;155.0;70.30676
Shawn;Jordan;The Savage;"6' 0""";260 lbs.;"75.0""";Southpaw;19;8;0;6.0;0.0;182.88;260.0;117.93392
Ivan;Jorge;Batman;"5' 9""";155 lbs.;"73.0""";Orthodox;27;7;0;5.0;9.0;175.26;155.0;70.30676
Scott;Jorgensen;Young Guns;"5' 5""";135 lbs.;"66.0""";Orthodox;15;12;0;5.0;5.0;165.1;135.0;61.23492
Gareth;Joseph;;--;205 lbs.;--;;9;5;0;;;;205.0;92.98636
Dwight;Joseph;;"5' 6""";135 lbs.;--;Switch;5;0;0;5.0;6.0;167.64000000000001;135.0;61.23492
Jeff;Joslin;The Inferno;"6' 0""";170 lbs.;--;Orthodox;5;3;0;6.0;0.0;182.88;170.0;77.11064
Krzysztof;Jotko;;"6' 1""";185 lbs.;"77.0""";Southpaw;24;6;0;6.0;1.0;185.42000000000002;185.0;83.91452
Alan;Jouban;Brahma;"6' 0""";170 lbs.;"73.0""";Southpaw;17;7;0;6.0;0.0;182.88;170.0;77.11064
Charles;Jourdain;Air;"5' 9""";135 lbs.;"69.0""";Switch;17;8;1;5.0;9.0;175.26;135.0;61.23492
Louis;Jourdain;The Mad Prince;"5' 9""";135 lbs.;"69.0""";Orthodox;9;3;0;5.0;9.0;175.26;135.0;61.23492
Kevin;Jousset;Air;"6' 2""";170 lbs.;"75.0""";Orthodox;10;4;0;6.0;2.0;187.96;170.0;77.11064
Mike;Joy;;"5' 6""";155 lbs.;--;Southpaw;11;8;0;5.0;6.0;167.64000000000001;155.0;70.30676
Dustin;Joynson;;"6' 6""";244 lbs.;"78.0""";Orthodox;5;0;0;6.0;6.0;198.12;244.0;110.676448
Tony;Juarez;;--;155 lbs.;--;;1;12;0;;;;155.0;70.30676
Jesse;Juarez;;"6' 1""";170 lbs.;--;Orthodox;23;12;0;6.0;1.0;185.42000000000002;170.0;77.11064
Ernie;Juarez;The Young Titan;"5' 8""";145 lbs.;"70.0""";;8;1;0;5.0;8.0;172.72;145.0;65.77083999999999
Anshul;Jubli;King of Lions;"6' 0""";155 lbs.;"69.0""";Switch;7;2;0;6.0;0.0;182.88;155.0;70.30676
Carli;Judice;Crispy;"5' 7""";125 lbs.;"68.0""";Southpaw;5;2;0;5.0;7.0;170.18;125.0;56.699
Steve;Judson;;"5' 11""";230 lbs.;--;Orthodox;0;2;0;5.0;11.0;180.34;230.0;104.32616
Luke;Jumeau;The Jedi;"5' 11""";170 lbs.;"72.0""";Orthodox;13;5;0;5.0;11.0;180.34;170.0;77.11064
Bu-Kyung;Jung;;"5' 7""";154 lbs.;--;Orthodox;0;4;0;5.0;7.0;170.18;154.0;69.853168
Chan Sung;Jung;The Korean Zombie;"5' 7""";145 lbs.;"72.0""";Orthodox;17;8;0;5.0;7.0;170.18;145.0;65.77083999999999
Young Sam;Jung;;"5' 8""";139 lbs.;--;Orthodox;4;8;0;5.0;8.0;172.72;139.0;63.049288
Da Woon;Jung;Sseda;"6' 4""";205 lbs.;"78.0""";Orthodox;15;6;1;6.0;4.0;193.04;205.0;92.98636
Scott;Junk;;"6' 1""";265 lbs.;--;Orthodox;8;3;1;6.0;1.0;185.42000000000002;265.0;120.20188
Myles;Jury;Fury;"5' 10""";145 lbs.;"73.0""";Orthodox;17;4;0;5.0;10.0;177.8;145.0;65.77083999999999
Cristiane;Justino;Cyborg;"5' 8""";145 lbs.;"68.0""";Orthodox;21;2;0;5.0;8.0;172.72;145.0;65.77083999999999
Patrick;Kaase;Kamikaze;"5' 9""";185 lbs.;--;;1;2;0;5.0;9.0;175.26;185.0;83.91452
Emily;Kagan;;"5' 3""";115 lbs.;--;;3;3;0;5.0;3.0;160.02;115.0;52.16308
Oron;Kahlon;;"5' 8""";135 lbs.;"70.0""";Orthodox;16;1;0;5.0;8.0;172.72;135.0;61.23492
;Kaiwen;The Underdog;"5' 8""";145 lbs.;"71.0""";Switch;15;7;0;5.0;8.0;172.72;145.0;65.77083999999999
Sirwan;Kakai;Zohan;"5' 5""";135 lbs.;--;Orthodox;12;5;0;5.0;5.0;165.1;135.0;61.23492
Saidyokub;Kakhramonov;;"5' 8""";135 lbs.;"69.0""";Orthodox;10;3;0;5.0;8.0;172.72;135.0;61.23492
Geza;Kalman;;"6' 1""";200 lbs.;--;;4;9;0;6.0;1.0;185.42000000000002;200.0;90.7184
Bryson;Kamaka;;"5' 11""";170 lbs.;--;Orthodox;12;20;1;5.0;11.0;180.34;170.0;77.11064
Kai;Kamaka;The Fighting Hawaiian;"5' 7""";145 lbs.;"69.0""";Orthodox;8;4;1;5.0;7.0;170.18;145.0;65.77083999999999
Shah;Kamali;;--;265 lbs.;--;;4;0;0;;;;265.0;120.20188
Shuya;Kamikubo;Stealth;"5' 5""";135 lbs.;"68.0""";Switch;13;2;1;5.0;5.0;165.1;135.0;61.23492
Daichi;Kamiya;;"5' 8""";155 lbs.;"68.0""";Southpaw;6;1;0;5.0;8.0;172.72;155.0;70.30676
Martin;Kampmann;The Hitman;"6' 0""";170 lbs.;"72.0""";Orthodox;20;7;0;6.0;0.0;182.88;170.0;77.11064
Koya;Kanda;Bushido;"5' 9""";145 lbs.;"75.0""";Southpaw;12;5;0;5.0;9.0;175.26;145.0;65.77083999999999
Bharat;Kandare;Daring;"5' 7""";135 lbs.;"72.0""";Orthodox;5;3;0;5.0;7.0;170.18;135.0;61.23492
Hiromitsu;Kanehara;;"5' 10""";200 lbs.;--;Orthodox;19;27;5;5.0;10.0;177.8;200.0;90.7184
Masanori;Kanehara;;"5' 7""";135 lbs.;"67.0""";Orthodox;26;12;5;5.0;7.0;170.18;135.0;61.23492
Ken;Kaneko;;"6' 0""";161 lbs.;--;Orthodox;0;3;0;6.0;0.0;182.88;161.0;73.028312
Denis;Kang;;"5' 11""";185 lbs.;"77.0""";Orthodox;35;16;2;5.0;11.0;180.34;185.0;83.91452
Kyung Ho;Kang;Mr. Perfect;"5' 9""";135 lbs.;"73.0""";Orthodox;19;11;0;5.0;9.0;175.26;135.0;61.23492
Manel;Kape;StarBoy;"5' 5""";125 lbs.;"68.0""";Southpaw;22;7;0;5.0;5.0;165.1;125.0;56.699
David;Kaplan;Diamond;"5' 7""";155 lbs.;--;Orthodox;3;4;0;5.0;7.0;170.18;155.0;70.30676
Kai;Kara-France;Don't Blink;"5' 4""";125 lbs.;"69.0""";Orthodox;25;12;0;5.0;4.0;162.56;125.0;56.699
Georgi;Karakhanyan;Insane;"5' 8""";145 lbs.;--;;26;7;1;5.0;8.0;172.72;145.0;65.77083999999999
Alex;Karalexis;The Assassin;"5' 8""";155 lbs.;"66.0""";Orthodox;10;6;0;5.0;8.0;172.72;155.0;70.30676
Ernesta;Kareckaite;Heavy-Handed;"5' 9""";125 lbs.;"71.0""";Orthodox;6;1;1;5.0;9.0;175.26;125.0;56.699
Impa;Kasanganay;Tshilobo;"5' 11""";170 lbs.;"75.0""";Orthodox;9;2;0;5.0;11.0;180.34;170.0;77.11064
Jinnosuke;Kashimura;;"5' 7""";155 lbs.;"71.0""";Southpaw;4;2;0;5.0;7.0;170.18;155.0;70.30676
Nadia;Kassem;;"5' 5""";125 lbs.;"66.0""";Southpaw;5;2;0;5.0;5.0;165.1;125.0;56.699
Yusuke;Kasuya;;"5' 7""";155 lbs.;--;Southpaw;9;3;0;5.0;7.0;170.18;155.0;70.30676
Tetsuji;Kato;;--;155 lbs.;--;Orthodox;20;10;0;;;;155.0;70.30676
Hisaki;Kato;;"6' 0""";185 lbs.;--;;8;2;0;6.0;0.0;182.88;185.0;83.91452
Brad;Katona;Superman;"5' 6""";135 lbs.;"64.0""";Orthodox;16;5;0;5.0;6.0;167.64000000000001;135.0;61.23492
Calvin;Kattar;;"5' 11""";145 lbs.;"72.0""";Orthodox;23;10;0;5.0;11.0;180.34;145.0;65.77083999999999
Sarah;Kaufman;;"5' 5""";135 lbs.;"66.0""";Orthodox;18;4;0;5.0;5.0;165.1;135.0;61.23492
Lone'er;Kavanagh;;"5' 6""";125 lbs.;"67.0""";Orthodox;9;1;0;5.0;6.0;167.64000000000001;125.0;56.699
Yusuke;Kawaguchi;;"6' 0""";255 lbs.;--;;18;12;0;6.0;0.0;182.88;255.0;115.66596
Canaan;Kawaihae;;"6' 0""";145 lbs.;"71.0""";Southpaw;6;2;0;6.0;0.0;182.88;145.0;65.77083999999999
Tatsuya;Kawajiri;Crusher;"5' 7""";145 lbs.;"69.0""";Orthodox;36;11;2;5.0;7.0;170.18;145.0;65.77083999999999
Ryo;Kawamura;;"5' 11""";205 lbs.;--;Orthodox;18;9;4;5.0;11.0;180.34;205.0;92.98636
Masuto;Kawana;Mast;"5' 6""";145 lbs.;"69.0""";Orthodox;10;4;0;5.0;6.0;167.64000000000001;145.0;65.77083999999999
Doug;Kay;;--;--;--;;0;0;0;;;;;
Toshiomi;Kazama;;"5' 7""";135 lbs.;"69.0""";Orthodox;11;5;0;5.0;7.0;170.18;135.0;61.23492
Julie;Kedzie;;"5' 5""";135 lbs.;--;Orthodox;16;13;0;5.0;5.0;165.1;135.0;61.23492
Ryan;Keenan;;"5' 10""";170 lbs.;--;;6;2;0;5.0;10.0;177.8;170.0;77.11064
Losene;Keita;Black Panther;"5' 8""";145 lbs.;"72.0""";Orthodox;16;1;0;5.0;8.0;172.72;145.0;65.77083999999999
CJ;Keith;;"6' 0""";155 lbs.;--;Orthodox;8;4;0;6.0;0.0;182.88;155.0;70.30676
Chris;Kelades;The Greek Assassin;"5' 7""";125 lbs.;"68.0""";Orthodox;9;3;0;5.0;7.0;170.18;125.0;56.699
Brian;Kelleher;Boom;"5' 6""";135 lbs.;"66.0""";Switch;24;16;0;5.0;6.0;167.64000000000001;135.0;61.23492
Mayana;Kellem;;"5' 5""";135 lbs.;--;Orthodox;7;1;0;5.0;5.0;165.1;135.0;61.23492
Tony;Kelley;Primetime;"5' 9""";135 lbs.;"70.0""";Switch;8;3;0;5.0;9.0;175.26;135.0;61.23492
Paul;Kelly;;"5' 9""";155 lbs.;"70.0""";Orthodox;14;5;0;5.0;9.0;175.26;155.0;70.30676
John;Kelly;;"5' 9""";170 lbs.;--;;5;4;0;5.0;9.0;175.26;170.0;77.11064
Daniel;Kelly;;"6' 0""";185 lbs.;"70.0""";Southpaw;13;4;0;6.0;0.0;182.88;185.0;83.91452
Tim;Kennedy;;"5' 11""";185 lbs.;"74.0""";Orthodox;18;6;0;5.0;11.0;180.34;185.0;83.91452
Steve;Kennedy;The Steamrolla;"5' 11""";170 lbs.;--;Orthodox;24;8;0;5.0;11.0;180.34;170.0;77.11064
Jeremy;Kennedy;JBC;"5' 11""";145 lbs.;"71.0""";Orthodox;11;1;0;5.0;11.0;180.34;145.0;65.77083999999999
Waylon;Kennell;;"6' 0""";185 lbs.;--;;6;2;0;6.0;0.0;182.88;185.0;83.91452
Casey;Kenney;;"5' 7""";135 lbs.;"68.0""";Southpaw;16;4;1;5.0;7.0;170.18;135.0;61.23492
Maimaitituoheti;Keremuaili;Kyrgyz Mountain Eagle;"5' 6""";135 lbs.;"66.0""";Orthodox;26;11;0;5.0;6.0;167.64000000000001;135.0;61.23492
Aurelijus;Kerpe;;--;--;--;Orthodox;11;22;0;;;;;
Mark;Kerr;The Smashing Machine;"6' 3""";266 lbs.;--;Switch;15;11;0;6.0;3.0;190.5;266.0;120.655472
Will;Kerr;;"5' 10""";155 lbs.;"69.0""";Orthodox;9;3;0;5.0;10.0;177.8;155.0;70.30676
Ron;Keslar;;--;185 lbs.;--;;11;9;0;;;;185.0;83.91452
Rustam;Khabilov;Tiger;"5' 8""";155 lbs.;"73.0""";Orthodox;24;4;0;5.0;8.0;172.72;155.0;70.30676
Adam;Khaliev;;"6' 0""";170 lbs.;--;Orthodox;6;0;0;6.0;0.0;182.88;170.0;77.11064
Sergey;Khandozhko;Honda;"6' 1""";170 lbs.;"74.0""";Orthodox;28;6;1;6.0;1.0;185.42000000000002;170.0;77.11064
Sergei;Kharitonov;;"6' 0""";245 lbs.;--;Orthodox;26;6;0;6.0;0.0;182.88;245.0;111.13004
Alfred;Khashakyan;The Fearless;"5' 8""";135 lbs.;"70.0""";Orthodox;8;3;0;5.0;8.0;172.72;135.0;61.23492
Aziz;Khaydarov;;"5' 11""";155 lbs.;"72.0""";Orthodox;21;7;0;5.0;11.0;180.34;155.0;70.30676
Mansher;Khera;New Era;"5' 10""";155 lbs.;"68.0""";Orthodox;10;0;0;5.0;10.0;177.8;155.0;70.30676
Aliaskhab;Khizriev;Black Wolf;"5' 9""";185 lbs.;"74.0""";Southpaw;14;0;0;5.0;9.0;175.26;185.0;83.91452
WonBin;Ki;The Danger;"5' 11""";155 lbs.;"73.0""";Orthodox;18;9;0;5.0;11.0;180.34;155.0;70.30676
Pannie;Kianzad;Banzai;"5' 7""";135 lbs.;"66.0""";Orthodox;17;9;0;5.0;7.0;170.18;135.0;61.23492
Akira;Kikuchi;;"5' 8""";155 lbs.;--;Orthodox;16;4;0;5.0;8.0;172.72;155.0;70.30676
Katsunori;Kikuno;;"5' 8""";145 lbs.;"66.0""";Orthodox;24;8;2;5.0;8.0;172.72;145.0;65.77083999999999
Sanae;Kikuta;;"5' 9""";200 lbs.;--;Orthodox;31;9;3;5.0;9.0;175.26;200.0;90.7184
Jacob;Kilburn;The Killer;"5' 9""";145 lbs.;"72.0""";Orthodox;8;4;0;5.0;9.0;175.26;145.0;65.77083999999999
Dong Hyun;Kim;Stun Gun;"6' 2""";170 lbs.;"76.0""";Southpaw;22;4;1;6.0;2.0;187.96;170.0;77.11064
Jin Oh;Kim;;"5' 9""";205 lbs.;--;Orthodox;0;4;0;5.0;9.0;175.26;205.0;92.98636
Dae Won;Kim;;"5' 11""";180 lbs.;--;Orthodox;11;7;0;5.0;11.0;180.34;180.0;81.64656
Jong Wang;Kim;;"6' 1""";240 lbs.;--;;13;23;0;6.0;1.0;185.42000000000002;240.0;108.86207999999999
Jong Won;Kim;;"5' 7""";139 lbs.;--;Orthodox;0;1;0;5.0;7.0;170.18;139.0;63.049288
Min Soo;Kim;;"6' 1""";255 lbs.;--;Southpaw;3;7;0;6.0;1.0;185.42000000000002;255.0;115.66596
Jong Man;Kim;Special Force;"5' 7""";139 lbs.;--;Orthodox;23;11;3;5.0;7.0;170.18;139.0;63.049288
Ji Yeon;Kim;Firefist;"5' 7""";125 lbs.;"72.0""";Orthodox;9;7;2;5.0;7.0;170.18;125.0;56.699
MinWoo;Kim;Korean MOAI;"5' 8""";135 lbs.;"72.0""";Orthodox;10;2;0;5.0;8.0;172.72;135.0;61.23492
HanSeul;Kim;Spade;"6' 1""";170 lbs.;"73.0""";Southpaw;13;6;0;6.0;1.0;185.42000000000002;170.0;77.11064
KyeungPyo;Kim;Redhorse;"5' 9""";155 lbs.;"71.0""";Orthodox;11;4;0;5.0;9.0;175.26;155.0;70.30676
Sangwook;Kim;Frogman;"6' 0""";155 lbs.;"71.0""";Orthodox;13;4;0;6.0;0.0;182.88;155.0;70.30676
SangWon;Kim;No Problem;"5' 9""";145 lbs.;"69.0""";Orthodox;10;6;1;5.0;9.0;175.26;145.0;65.77083999999999
KyuSung;Kim;;"5' 11""";125 lbs.;"69.0""";Orthodox;12;6;0;5.0;11.0;180.34;125.0;56.699
So Yul;Kim;;--;115 lbs.;--;;8;1;0;;;;115.0;52.16308
Jeremy;Kimball;;"6' 0""";205 lbs.;"72.0""";Switch;15;8;0;6.0;0.0;182.88;205.0;92.98636
Rob;Kimmons;The Rosedale Reaper;"5' 10""";185 lbs.;"73.0""";Orthodox;25;9;0;5.0;10.0;177.8;185.0;83.91452
Dustin;Kimura;The Diamond;"5' 7""";135 lbs.;"71.0""";Orthodox;11;3;0;5.0;7.0;170.18;135.0;61.23492
Taiei;Kin;;"5' 11""";185 lbs.;--;Orthodox;6;3;0;5.0;11.0;180.34;185.0;83.91452
Mike;King;;"6' 3""";185 lbs.;--;;5;1;0;6.0;3.0;190.5;185.0;83.91452
Kyle;Kingsbury;Kingsbu;"6' 4""";205 lbs.;"79.0""";Orthodox;11;6;0;6.0;4.0;193.04;205.0;92.98636
Yusaku;Kinoshita;;"6' 0""";170 lbs.;"71.0""";Southpaw;6;3;0;6.0;0.0;182.88;170.0;77.11064
Kamuela;Kirk;The Jawaiian;"5' 10""";155 lbs.;"75.0""";Switch;12;6;0;5.0;10.0;177.8;155.0;70.30676
Yurij;Kiseliov;Playboy;"5' 8""";185 lbs.;--;Orthodox;5;4;0;5.0;8.0;172.72;185.0;83.91452
Justine;Kish;;"5' 5""";125 lbs.;"64.0""";Orthodox;7;4;0;5.0;5.0;165.1;125.0;56.699
Koji;Kitao;;"6' 7""";350 lbs.;--;Southpaw;1;2;0;6.0;7.0;200.66;350.0;158.7572
Satoru;Kitaoka;;"5' 6""";154 lbs.;--;;40;14;9;5.0;6.0;167.64000000000001;154.0;69.853168
Top Noi;Kiwram;;"5' 5""";125 lbs.;"67.0""";Southpaw;9;5;0;5.0;5.0;165.1;125.0;56.699
Ludovit;Klein;Mr. Highlight;"5' 7""";155 lbs.;"72.0""";Southpaw;24;5;1;5.0;7.0;170.18;155.0;70.30676
Nick;Klein;Blue Collar;"6' 1""";185 lbs.;"77.0""";Orthodox;6;3;0;6.0;1.0;185.42000000000002;185.0;83.91452
Seth;Kleinbeck;Mass Destruction;"6' 2""";185 lbs.;--;;8;4;0;6.0;2.0;187.96;185.0;83.91452
Stefan;Klever;;--;185 lbs.;--;Orthodox;6;1;0;;;;185.0;83.91452
Fatima;Kline;The Archangel;"5' 6""";115 lbs.;"67.0""";Orthodox;9;1;0;5.0;6.0;167.64000000000001;115.0;52.16308
Felix;Klinkhammer;;"6' 0""";170 lbs.;--;;7;0;0;6.0;0.0;182.88;170.0;77.11064
Drakkar;Klose;;"5' 9""";155 lbs.;"70.0""";Orthodox;16;3;1;5.0;9.0;175.26;155.0;70.30676
Michael;Knaap;Hammer;"6' 2""";220 lbs.;--;Orthodox;18;22;3;6.0;2.0;187.96;220.0;99.79024
Kevin;Knabjian;;"5' 10""";170 lbs.;--;Orthodox;12;7;1;5.0;10.0;177.8;170.0;77.11064
Jason;Knight;The Kid;"5' 10""";145 lbs.;"71.0""";Orthodox;20;5;0;5.0;10.0;177.8;145.0;65.77083999999999
William;Knight;Knightmare;"5' 10""";205 lbs.;"73.0""";Orthodox;11;5;0;5.0;10.0;177.8;205.0;92.98636
Josefine;Knutsson;Thunder;"5' 3""";115 lbs.;"60.0""";Orthodox;8;1;0;5.0;3.0;160.02;115.0;52.16308
Seokhyeon;Ko;The Korean Tyson;"5' 10""";170 lbs.;"71.0""";Southpaw;13;2;0;5.0;10.0;177.8;170.0;77.11064
Isao;Kobayashi;;"5' 8""";145 lbs.;--;;21;4;4;5.0;8.0;172.72;145.0;65.77083999999999
Kelly;Kobold;Blood Red;"5' 6""";135 lbs.;--;Orthodox;19;3;1;5.0;6.0;167.64000000000001;135.0;61.23492
Erik;Koch;Phoenix;"5' 10""";170 lbs.;"71.0""";Southpaw;16;6;0;5.0;10.0;177.8;170.0;77.11064
Sokun;Koh;;"6' 1""";205 lbs.;--;;4;1;0;6.0;1.0;185.42000000000002;205.0;92.98636
Shingo;Kohara;;"5' 6""";135 lbs.;--;;1;0;0;5.0;6.0;167.64000000000001;135.0;61.23492
Brad;Kohler;;"5' 9""";220 lbs.;--;Orthodox;12;15;0;5.0;9.0;175.26;220.0;99.79024
Charlie;Kohler;;"5' 9""";155 lbs.;--;Orthodox;8;4;1;5.0;9.0;175.26;155.0;70.30676
Tsuyoshi;Kohsaka;TK;"5' 11""";225 lbs.;--;Orthodox;27;19;2;5.0;11.0;180.34;225.0;102.0582
Kaloyan;Kolev;;"6' 2""";205 lbs.;"73.0""";Orthodox;10;1;0;6.0;2.0;187.96;205.0;92.98636
John;Kolosci;;"5' 11""";185 lbs.;--;Orthodox;15;9;0;5.0;11.0;180.34;185.0;83.91452
Yuki;Kondo;;"5' 11""";183 lbs.;--;Southpaw;60;33;9;5.0;11.0;180.34;183.0;83.007336
Syuri;Kondo;;"5' 4""";115 lbs.;"66.0""";Orthodox;6;3;0;5.0;4.0;162.56;115.0;52.16308
Mantas;Kondratavicius;;"6' 2""";185 lbs.;"75.0""";Orthodox;8;1;0;6.0;2.0;187.96;185.0;83.91452
Cheick;Kongo;;"6' 4""";240 lbs.;"82.0""";Orthodox;27;10;2;6.0;4.0;193.04;240.0;108.86207999999999
Andrei;Kopylov;;"6' 2""";265 lbs.;--;Orthodox;6;11;0;6.0;2.0;187.96;265.0;120.20188
Roman;Kopylov;;"6' 0""";185 lbs.;"75.0""";Southpaw;14;5;0;6.0;0.0;182.88;185.0;83.91452
Bruno;Korea;;"5' 6""";135 lbs.;"65.0""";;7;3;0;5.0;6.0;167.64000000000001;135.0;61.23492
Chungreng;Koren;The Indian Rhino;--;135 lbs.;--;;7;1;0;;;;135.0;61.23492
Andrey;Koreshkov;Spartan;"6' 0""";170 lbs.;--;;19;2;0;6.0;0.0;182.88;170.0;77.11064
Josh;Koscheck;;"5' 10""";170 lbs.;"73.0""";Orthodox;17;11;0;5.0;10.0;177.8;170.0;77.11064
Steven;Koslow;Obi Won Shinobi The Pillow;"5' 7""";125 lbs.;"69.0""";Switch;6;1;0;5.0;7.0;170.18;125.0;56.699
Naoyuki;Kotani;;"5' 8""";155 lbs.;"66.0""";Southpaw;34;14;7;5.0;8.0;172.72;155.0;70.30676
Ilya;Kotau;;--;170 lbs.;--;;1;2;0;;;;170.0;77.11064
Iouri;Kotchkine;;"6' 2""";235 lbs.;--;Orthodox;7;4;1;6.0;2.0;187.96;235.0;106.59412
Matt;Kovacs;300;"6' 0""";244 lbs.;--;Orthodox;12;16;0;6.0;0.0;182.88;244.0;110.676448
Marcus;Kowal;;--;135 lbs.;--;;3;1;1;;;;135.0;61.23492
Karolina;Kowalkiewicz;;"5' 3""";115 lbs.;"64.0""";Orthodox;16;10;0;5.0;3.0;160.02;115.0;52.16308
Steve;Kozola;;--;155 lbs.;--;;8;0;0;;;;155.0;70.30676
Derrick;Krantz;D-Rock;"5' 10""";170 lbs.;"72.0""";Orthodox;22;12;0;5.0;10.0;177.8;170.0;77.11064
James;Krause;The;"6' 2""";170 lbs.;"73.0""";Orthodox;28;9;0;6.0;2.0;187.96;170.0;77.11064
Pascal;Krauss;Panzer;"6' 1""";170 lbs.;--;Orthodox;11;2;0;6.0;1.0;185.42000000000002;170.0;77.11064
Rene;Kronvold;;"5' 8""";170 lbs.;--;Orthodox;5;1;0;5.0;8.0;172.72;170.0;77.11064
Kaynan;Kruschewsky;Bahia;"6' 0""";155 lbs.;"73.0""";Orthodox;15;3;0;6.0;0.0;182.88;155.0;70.30676
Jorgen;Kruth;The Last Viking;"6' 2""";205 lbs.;--;;5;0;0;6.0;2.0;187.96;205.0;92.98636
Nikita;Krylov;The Miner;"6' 3""";205 lbs.;"77.0""";Orthodox;31;11;0;6.0;3.0;190.5;205.0;92.98636
Mariusz;Ksiazkiewicz;The Iron Pol;"6' 3""";185 lbs.;"75.0""";Southpaw;8;1;0;6.0;3.0;190.5;185.0;83.91452
Eliezer;Kubanza;;"5' 9""";170 lbs.;"74.0""";Orthodox;7;1;0;5.0;9.0;175.26;170.0;77.11064
Junya;Kudo;;--;135 lbs.;--;Orthodox;10;7;2;;;;135.0;61.23492
John;Kuhner;;--;170 lbs.;--;;1;2;0;;;;170.0;77.11064
Michael;Kuiper;;"6' 0""";185 lbs.;"73.0""";Orthodox;15;5;0;6.0;0.0;182.88;185.0;83.91452
